GAME_DATE,MATCHUP,MIN,PTS,REB,AST,FG_PCT,TOV,Player,Opponent,HomeAway,PTS_Roll3,REB_Roll3,AST_Roll3,TEAM_ID,TEAM_NAME,DefensiveRating,Pace,PointsAllowed,ReboundsAllowed,OpponentFGPctAllowed,Opponent3PtPctAllowed,DefensiveRatingScaled,PointsAllowedScaled,ReboundsAllowedScaled,OpponentFGPctAllowedScaled,Opponent3PtPctAllowedScaled,PaceScaled,DefensiveRatingHard,PointsAllowedHard,ReboundsAllowedHard,OpponentFGPctAllowedHard,Opponent3PtPctAllowedHard,PaceHard,MatchupDifficulty,SeasonAvgPTS,SeasonAvgREB,SeasonAvgAST,SeasonAvgTOV,SeasonAvgFG_PCT,PTS_vs_SeasonAvg,REB_vs_SeasonAvg,AST_vs_SeasonAvg,TOV_vs_SeasonAvg,FG_PCT_vs_SeasonAvg
2025-11-29,PHX vs. DEN,35,24,4,7,0.455,1,Devin Booker,DEN,Home,19.333333333333332,6.0,5.666666666666667,1610612743.0,Denver Nuggets,116.0,99.49,116.9,42.8,0.468,0.349,0.6333333333333337,0.5159574468085113,0.41176470588235325,0.5166666666666666,0.0,0.45202312138728296,0.36666666666666625,0.4840425531914887,0.5882352941176467,0.4833333333333334,1.0,0.547976878612717,0.5223414926172164,26.0625,3.875,6.03125,3.140625,0.4555,-2.0625,0.125,0.96875,-2.140625,-0.0005000000000000004
2025-12-01,PHX @ LAL,10,11,2,3,0.571,1,Devin Booker,LAL,Away,21.333333333333332,6.333333333333333,6.333333333333333,1610612747.0,Los Angeles Lakers,115.5,99.22,114.6,41.0,0.483,0.352,0.6000000000000005,0.3936170212765955,0.20000000000000018,0.7666666666666666,0.09375,0.42080924855491375,0.39999999999999947,0.6063829787234045,0.7999999999999998,0.2333333333333334,0.90625,0.5791907514450862,0.5448206708891894,26.0625,3.875,6.03125,3.140625,0.4555,-15.0625,-1.875,-3.03125,-2.140625,0.11549999999999994
2025-12-14,PHX vs. LAL,31,27,6,7,0.412,1,Devin Booker,LAL,Home,18.666666666666668,4.666666666666667,5.333333333333333,1610612747.0,Los Angeles Lakers,115.5,99.22,114.6,41.0,0.483,0.352,0.6000000000000005,0.3936170212765955,0.20000000000000018,0.7666666666666666,0.09375,0.42080924855491375,0.39999999999999947,0.6063829787234045,0.7999999999999998,0.2333333333333334,0.90625,0.5791907514450862,0.5448206708891894,26.0625,3.875,6.03125,3.140625,0.4555,0.9375,2.125,0.96875,-2.140625,-0.04350000000000004
2025-12-18,PHX vs. GSW,33,25,2,2,0.474,3,Devin Booker,GSW,Home,20.666666666666668,4.0,5.666666666666667,1610612744.0,Golden State Warriors,114.4,100.05,115.2,44.2,0.48,0.36,0.5266666666666673,0.4255319148936172,0.5764705882352947,0.7166666666666659,0.34375,0.5167630057803461,0.4733333333333327,0.5744680851063828,0.42352941176470527,0.2833333333333341,0.65625,0.48323699421965394,0.47687172820794765,26.0625,3.875,6.03125,3.140625,0.4555,-1.0625,-1.875,-4.03125,-0.140625,0.01849999999999996
2025-12-20,PHX @ GSW,34,38,1,5,0.481,2,Devin Booker,GSW,Away,21.0,3.3333333333333335,4.0,1610612744.0,Golden State Warriors,114.4,100.05,115.2,44.2,0.48,0.36,0.5266666666666673,0.4255319148936172,0.5764705882352947,0.7166666666666659,0.34375,0.5167630057803461,0.4733333333333327,0.5744680851063828,0.42352941176470527,0.2833333333333341,0.65625,0.48323699421965394,0.47687172820794765,26.0625,3.875,6.03125,3.140625,0.4555,11.9375,-2.875,-1.03125,-1.140625,0.025499999999999967
2025-12-23,PHX vs. LAL,27,21,2,11,0.5,4,Devin Booker,LAL,Home,30.0,3.0,4.666666666666667,1610612747.0,Los Angeles Lakers,115.5,99.22,114.6,41.0,0.483,0.352,0.6000000000000005,0.3936170212765955,0.20000000000000018,0.7666666666666666,0.09375,0.42080924855491375,0.39999999999999947,0.6063829787234045,0.7999999999999998,0.2333333333333334,0.90625,0.5791907514450862,0.5448206708891894,26.0625,3.875,6.03125,3.140625,0.4555,-5.0625,-1.875,4.96875,0.859375,0.044499999999999984
2025-12-26,PHX @ NOP,36,30,9,5,0.625,4,Devin Booker,NOP,Away,28.0,1.6666666666666667,6.0,1610612740.0,New Orleans Pelicans,117.6,101.37,120.0,45.8,0.477,0.35,0.7400000000000002,0.6808510638297873,0.7647058823529411,0.6666666666666661,0.03125,0.6693641618497104,0.2599999999999998,0.31914893617021267,0.23529411764705888,0.3333333333333339,0.96875,0.33063583815028963,0.35706248869613033,26.0625,3.875,6.03125,3.140625,0.4555,3.9375,5.125,-1.03125,0.859375,0.16949999999999998
2025-12-27,PHX @ NOP,34,20,3,4,0.333,4,Devin Booker,NOP,Away,29.666666666666668,4.0,7.0,1610612740.0,New Orleans Pelicans,117.6,101.37,120.0,45.8,0.477,0.35,0.7400000000000002,0.6808510638297873,0.7647058823529411,0.6666666666666661,0.03125,0.6693641618497104,0.2599999999999998,0.31914893617021267,0.23529411764705888,0.3333333333333339,0.96875,0.33063583815028963,0.35706248869613033,26.0625,3.875,6.03125,3.140625,0.4555,-6.0625,-0.875,-2.03125,0.859375,-0.1225
2025-12-29,PHX @ WAS,35,22,6,5,0.348,2,Devin Booker,WAS,Away,23.666666666666668,4.666666666666667,6.666666666666667,1610612764.0,Washington Wizards,121.5,102.49,124.9,47.8,0.488,0.368,1.0,0.9414893617021285,1.0,0.8499999999999988,0.59375,0.7988439306358366,0.0,0.05851063829787151,0.0,0.15000000000000124,0.40625,0.20115606936416341,0.09494273459599084,26.0625,3.875,6.03125,3.140625,0.4555,-4.0625,2.125,-1.03125,-1.140625,-0.10750000000000004
2025-12-31,PHX @ CLE,33,32,2,4,0.52,1,Devin Booker,CLE,Away,24.0,6.0,4.666666666666667,1610612739.0,Cleveland Cavaliers,114.1,100.7,115.4,43.2,0.464,0.372,0.5066666666666668,0.43617021276595835,0.45882352941176574,0.4500000000000002,0.71875,0.5919075144508668,0.4933333333333332,0.5638297872340416,0.5411764705882343,0.5499999999999998,0.28125,0.40809248554913324,0.49337667658995676,26.0625,3.875,6.03125,3.140625,0.4555,5.9375,-1.875,-2.03125,-2.140625,0.0645
